Country,GDP (Million USD)
United States,30507217
China,19231705
Germany,4744804
India,4187017
Japan,4186431
United Kingdom,3839180
France,3211292
Italy,2422855
Canada,2225341
Brazil,2125958
Russia,2076396
Spain,1799511
South Korea,1790322
Australia,1771681
Mexico,1692640
Turkey,1437406
Indonesia,1429743
Netherlands,1272011
Saudi Arabia,1083749
Poland,979960
Switzerland,947125
Taiwan,804889
Belgium,684864
Argentina,683533
Sweden,620297
Ireland,598840
Singapore,564774
United Arab Emirates,548598
Thailand,546224
Austria,534301
Norway,504276
Philippines,497495
Vietnam,490970
Bangladesh,467218
Denmark,449940
Malaysia,444984
Colombia,427766
Hong Kong,423999
South Africa,410338
Romania,403395
Pakistan,450000
Czech Republic,360244
Egypt,347342
Chile,343823
Iran,341013
Portugal,321440
Finland,303945
Peru,303293
Kazakhstan,300538
Algeria,268885
Greece,267348
Iraq,258020
New Zealand,248666
Hungary,237070
Qatar,222776
Ukraine,205742
Cuba,100000
Nigeria,188271
Morocco,165835
Kuwait,153101
Slovakia,147031
Uzbekistan,132484
Kenya,131673
Dominican Republic,127828
Ecuador,125677
Puerto Rico,122522
Guatemala,121177
Ethiopia,117457
Bulgaria,117007
Angola,113343
Venezuela,108511
Oman,104351
Costa Rica,102591
Sri Lanka,80000
Croatia,98951
Luxembourg,96613
Ivory Coast,94483
Serbia,92549
Panama,91675
Lithuania,89192
Turkmenistan,89054
Ghana,88332
Tanzania,85977
Uruguay,79731
DR Congo,79119
Azerbaijan,78870
Slovenia,75224
Belarus,71561
Myanmar,64944
Uganda,64277
Bolivia,56339
Tunisia,56291
Jordan,56102
Cameroon,56011
Macau,53354
Cambodia,49799
Bahrain,47829
Libya,47484
Nepal,46080
Latvia,45535
Paraguay,45465
Estonia,45004
Cyprus,38736
Zimbabwe,38172
Honduras,38172
El Salvador,36749
Georgia,35353
Iceland,35309
Senegal,34728
Haiti,33548
Papua New Guinea,32835
Sudan,31506
Guinea,30094
Zambia,28910
Bosnia and Herzegovina,28807
Albania,28372
Burkina Faso,27056
Trinidad and Tobago,26467
Armenia,26258
Guyana,25822
Mongolia,25804
Malta,25750
Mozambique,23771
Mali,23208
Benin,22236
Niger,21874
Jamaica,21411
Nicaragua,21155
Gabon,20391
Lebanon,20000
Syria,24000
Kyrgyzstan,19849
Moldova,19462
Botswana,19400
Chad,18792
Madagascar,18708
North Macedonia,17885
Yemen,17401
Afghanistan,25000
North Korea,40000
Laos,16322
Brunei,16007
Mauritius,15495
Congo,15281
Bahamas,15178
Tajikistan,14836
Rwanda,14771
Namibia,14214
Malawi,13959
Palestine,15000
Somalia,12994
Equatorial Guinea,12684
Channel Islands,12000
Mauritania,11470
Kosovo,11274
New Caledonia,11000
Togo,10023
Monaco,8000
Bermuda,8000
Montenegro,8562
Sierra Leone,8386
Liechtenstein,7000
Barbados,7552
Maldives,7480
Isle of Man,7000
Cayman Islands,7000
Guam,6000
Burundi,6745
French Polynesia,6000
Fiji,6257
Eswatini,5483
Liberia,5166
U.S. Virgin Islands,5000
Djibouti,4587
Suriname,4506
Aruba,4100
Andorra,4035
South Sudan,3998
Faroe Islands,5000
Belize,3611
Bhutan,3422
Greenland,4500
Curaçao,4000
Central African Republic,2932
Cape Verde,2786
Gambia,2771
Saint Lucia,2632
Zanzibar,2500
Lesotho,2404
Antigua and Barbuda,2373
Eritrea,3500
Guinea-Bissau,2274
Seychelles,2198
Timor-Leste,2115
San Marino,2047
Solomon Islands,1898
Turks and Caicos Islands,3000
Sint Maarten,3000
Comoros,1548
British Virgin Islands,2800
Grenada,1464
Vanuatu,1267
Saint Vincent and the Grenadines,1242
Northern Mariana Islands,2500
Samoa,1160
Saint Kitts and Nevis,1129
American Samoa,2500
São Tomé and Príncipe,864
Dominica,742
Saint Martin,2000
Tonga,568
Micronesia,500
Anguilla,1500
Cook Islands,400
Palau,333
Kiribati,312
Marshall Islands,297
Nauru,169
Montserrat,200
Tuvalu,65
